VehicleNumber,Time,Longitude,Lattitude,Line
1000,2024-02-22 12:27:11,21.105139,52.211868,213
1001,2024-02-22 12:27:12,21.2035066,52.1594051,213
1003,2024-02-22 12:27:14,21.1653446,52.2052923,213
1004,2024-02-22 12:27:14,21.073298,52.2545,311
1005,2024-02-22 12:27:08,21.1526585,52.2139945,219
1007,2024-02-22 12:27:11,21.1022111,52.2228746,219
10071,2024-02-22 12:27:14,20.9413016,52.4007131,L-8
10072,2024-02-22 12:27:13,21.0346576,52.4202908,L31
10073,2024-02-22 12:27:14,20.945828,52.3498501,L49
10074,2024-02-22 12:27:14,21.0223828,52.0682676,L24
10075,2024-02-22 12:27:13,20.9211785,52.3817908,L-8
1009,2024-02-22 12:27:17,21.0948331,52.221295,311
1010,2024-02-22 12:26:58,21.102454,52.222771,213
1012,2024-02-22 12:27:14,21.2198266,52.1643283,213
1013,2024-02-22 12:27:12,21.1433631,52.18618,219
1014,2024-02-22 12:27:14,21.0934261,52.2311243,311
1022,2024-02-22 12:26:58,21.108991,52.165336,263
1026,2024-02-22 12:27:14,21.0480607,52.2094835,107
1028,2024-02-22 12:27:15,21.054844,52.181023,108
1030,2024-02-22 12:27:14,21.03837,52.143341,192
1033,2024-02-22 12:27:13,21.0461632,52.2147439,108
1034,2024-02-22 12:27:10,21.070143,52.181122,108
1037,2024-02-22 12:27:14,20.9793772,52.2445421,107
1040,2024-02-22 12:27:09,21.03096,52.293481,204
1042,2024-02-22 12:26:57,21.063665,52.192373,107
1043,2024-02-22 12:27:11,21.0396433,52.2020883,107
1044,2024-02-22 12:27:02,21.047625,52.264383,107
1045,2024-02-22 12:27:14,20.9777783,52.244035,107
1046,2024-02-22 12:27:11,21.0187883,52.226025,107
1050,2024-02-22 12:27:12,20.9249967,52.2070683,228
1051,2024-02-22 12:27:08,20.953618,52.212739,208
1052,2024-02-22 12:27:00,20.893105,52.2004017,228
1054,2024-02-22 12:27:05,20.973108,52.193291,228
1055,2024-02-22 12:27:01,20.892905,52.2003383,207
1057,2024-02-22 12:27:11,20.896654,52.19599,207
1059,2024-02-22 12:27:12,20.975595,52.2103166,208
1061,2024-02-22 12:27:12,21.000446,52.244995,107
1062,2024-02-22 12:27:15,21.0288069,52.1508809,192
1064,2024-02-22 12:27:15,21.071663,52.212498,108
1065,2024-02-22 12:27:13,21.017355,52.15781,192
1066,2024-02-22 12:27:08,21.035698,52.221886,107
1068,2024-02-22 12:27:12,21.0685979,52.1291177,192
1069,2024-02-22 12:27:15,21.0051007,52.2188325,200
1070,2024-02-22 12:27:15,21.060558,52.137005,192
1071,2024-02-22 12:27:08,21.024197,52.179733,108
1072,2024-02-22 12:27:13,21.023453,52.228436,108
1073,2024-02-22 12:27:14,21.1201899,52.0850837,200
1076,2024-02-22 12:27:15,21.08514,52.193268,107
1078,2024-02-22 12:27:13,20.9953534,52.1883236,163
1106,2024-02-22 12:27:09,20.9941321,52.2594733,221
1112,2024-02-22 12:27:09,21.0846298,52.2726821,170
1115,2024-02-22 12:27:08,21.0475293,52.2641856,338
1117,2024-02-22 12:27:13,21.0352685,52.2559701,169
11201,2024-02-22 12:26:12,21.280144,52.3291098,L27
11202,2024-02-22 12:25:14,21.2212001,52.345407,L27
1202,2024-02-22 12:27:15,20.969563,52.229107,106
1203,2024-02-22 12:27:11,21.0019139,52.1832232,218
1204,2024-02-22 12:27:14,21.002295,52.18272,218
1206,2024-02-22 12:27:14,20.995752,52.187958,251
1207,2024-02-22 12:27:15,21.1106809,52.1122352,139
1208,2024-02-22 12:27:14,21.04904,52.207279,168
1209,2024-02-22 12:27:15,21.0682107,52.1292755,166
1211,2024-02-22 12:27:15,21.0026802,52.2373557,106
1212,2024-02-22 12:27:15,21.011923,52.189037,218
1213,2024-02-22 12:27:11,21.0358062,52.1473674,263
1216,2024-02-22 12:27:14,21.0843959,52.1655937,139
1218,2024-02-22 12:27:14,21.02317,52.22747,118
1219,2024-02-22 12:27:14,21.024023,52.224094,166
1222,2024-02-22 12:27:14,21.0931804,52.1608536,263
1223,2024-02-22 12:27:12,21.078785,52.183361,263
1224,2024-02-22 12:27:14,21.0459957,52.2067344,168
1400,2024-02-22 12:26:41,20.921898,52.2496328,122
1411,2024-02-22 12:27:10,21.051731,52.198017,119
1412,2024-02-22 12:27:12,21.187414,52.246918,115
1413,2024-02-22 12:27:14,21.1013374,52.2147737,147
1414,2024-02-22 12:27:15,21.101036,52.222725,117
1415,2024-02-22 12:27:15,21.185865,52.246674,115
1417,2024-02-22 12:27:12,21.1770699,52.2568674,153
1418,2024-02-22 12:27:13,21.0050951,52.2296169,117
1419,2024-02-22 12:27:14,21.114344,52.2343911,147
1421,2024-02-22 12:27:14,21.000355,52.206127,119
1422,2024-02-22 12:27:15,21.0523997,52.2503341,146
1424,2024-02-22 12:27:15,21.046196,52.199905,119
1425,2024-02-22 12:27:14,21.1025346,52.2221327,117
1426,2024-02-22 12:27:14,21.149218,52.222862,219
1427,2024-02-22 12:27:14,21.170298,52.277065,115
1428,2024-02-22 12:27:14,21.0021626,52.1962737,168
1501,2024-02-22 12:27:11,20.9865041,52.2692963,181
1502,2024-02-22 12:27:09,20.9863046,52.269395,303
1505,2024-02-22 12:27:11,21.0469796,52.2645831,303
1506,2024-02-22 12:27:14,21.0524408,52.250175,123
1509,2024-02-22 12:27:09,20.9419346,52.2370938,197
1513,2024-02-22 12:27:04,21.0442566,52.1774841,166
1519,2024-02-22 12:27:10,20.9305483,52.3071978,181
1522,2024-02-22 12:27:11,21.1161717,52.2332367,319
1523,2024-02-22 12:27:09,21.052918,52.25041,173
1524,2024-02-22 12:27:03,21.057593,52.228924,146
1525,2024-02-22 12:27:12,21.158363,52.255326,183
1529,2024-02-22 12:27:02,21.150919,52.269868,153
